"Label","English"
"STR_1_C4","If you can\hear me,\"
"STR_1_D3","please\answer!"
"STR_1_E3","I, I have\to get out\"
"STR_1_F8","of here!"
"STR_1_105","To escape,\I'll need\"
"STR_1_118","your help."
"STR_1_127","I'll be\wainting for"
"STR_1_137","you, in\Bugsite..."
"STR_1_149","Please!"
"STR_1_15B","Please\hurry!!"
"STR_2_42","  Nanohama town \    - home -"
"STR_3_D8","Mom:\It's\"
"STR_3_E3","morning,\waKe up!"
"STR_3_118","  Mom:\Honestly,how"
"STR_3_123","long were\you planning"
"STR_3_133","on sleeping?\That reminds"
"STR_3_140","me, I had a\bit of a"
"STR_3_154","nightmare\last night."
"STR_3_165","Did you have\a weird"
"STR_3_179","dream, too?\You promised"
"STR_3_18A","to play with\Yui today;"
"STR_3_199","she'll be\waiting."
"STR_3_217","ははおや\"
"STR_3_222","「そうそう"
"STR_3_247"," おとうさんから、\"
"STR_3_257"," たくはいひ゛んか゛"
"STR_3_26B"," とと゛いているわよ\"
"STR_3_280"," 2かいの しょさいに\"
"STR_3_292"," おいてあるわ"
"STR_3_2A3"," ユイちゃんと あそんて゛"
"STR_3_2B6"," からて゛いいから"
"STR_3_2C9"," あとて゛\"
"STR_3_2D5"," あけてみてね」"
"STR_3_2FD","「そうそう"
"STR_3_30C"," おとうさんから、\"
"STR_3_31C"," たくはいひ゛んか゛"
"STR_3_330"," とと゛いているわよ\"
"STR_3_345"," 2かいの しょさいに\"
"STR_3_357"," おいてあるわ"
"STR_3_368"," ユイちゃんと あそんて゛"
"STR_3_37B"," からて゛いいから"
"STR_3_38E"," あとて゛\"
"STR_3_39A"," あけてみてね」"
"STR_4_61","カキ゛か゛ かかっている。"
"STR_4_8E","カキ゛か゛ かかっている。"
"STR_4_BB","こうもんか゛しまっている。"
"STR_5_74","たくはいひ゛んには\"
"STR_5_84","いろいろな きかいか゛"
"STR_5_99","はいっている。"
"STR_5_AA","モハ゛イルと\"
"STR_5_B7","ハ゛イサ゛-をてにいれた!"
"STR_5_D5","チッフ゜「JA-8G」を"
"STR_5_E7","てにいれた!"
"STR_5_118","ハ゛ク゛センサ-を\"
"STR_5_128","てにいれた!"
"STR_5_154","おとうさんのホ゛イスメッセ-シ゛を\"
"STR_5_16C","さいせいした。"
"STR_5_192","ちちおや\"
"STR_5_19D","「きこえるか?"
"STR_5_1AE"," わたした゛。\"
"STR_5_1BC"," おとうさんた゛。"
"STR_5_1CF"," この たくはいひ゛んに\"
"STR_5_1E2"," はいってたものは"
"STR_5_1F5"," おとうさんからの\"
"STR_5_205"," フ゜レセ゛ントた゛。"
"STR_5_21A"," おまえも\"
"STR_5_226"," そろそろ"
"STR_5_235"," ハ゛ク゛サイトに\"
"STR_5_245"," きょうみか゛て゛てくる"
"STR_5_25B"," としこ゛ろた゛と\"
"STR_5_26B"," おもってな。"
"STR_5_27C"," ます゛はモハ゛イルに\"
"STR_5_28E"," し゛ふ゛んのなまえを"
"STR_5_2A3"," にゅうりょく\"
"STR_5_2B1"," するんた゛」"
"STR_5_31F","ちちおや\"
